"NCBI.ID"	"KINGDOM"	"PHYLUM"	"CLASS"	"ORDER"	"FAMILY"	"GENUS"	"NCBI.NAMES"	"AGORA.NAMES"	"MODEL.NAMES"
"76"	1051501	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus mojavensis RO-H-1 = KCTC 3706"	"Bacillus mojavensis RO-H-1"	"Bacillus_mojavensis_RO_H_1"
"77"	526997	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus mycoides DSM 2048"	"Bacillus mycoides  DSM 2048"	"Bacillus_mycoides_DSM_2048"
"78"	1202533	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus nealsonii AAU1"	"Bacillus nealsonii AAU1"	"Bacillus_nealsonii_AAU1"
"79"	398511	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus pseudofirmus OF4"	"Bacillus pseudofirmus  OF4"	"Bacillus_pseudofirmus_OF4"
"80"	536229	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus pumilus ATCC 7061"	"Bacillus pumilus ATCC 7061"	"Bacillus_pumilus_ATCC_7061"
"81"	1274524	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus sonorensis L12"	"Bacillus sonorensis L12"	"Bacillus_sonorensis_L12"
"82"	224308	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus subtilis subsp. subtilis str. 168"	"Bacillus subtilis str. 168"	"Bacillus_subtilis_str_168"
"83"	35841	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus thermoamylovorans"	"Bacillus thermoamylovorans"	"Bacillus_thermoamylovorans"
"84"	527025	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus thuringiensis serovar thuringiensis str. T01001"	"Bacillus thuringiensis serovar thuringiensis str. T01001"	"Bacillus_thuringiensis_serovar_thuringiensis_str_T01001"
"85"	1033734	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus timonensis"	"Bacillus timonensis 10403023"	"Bacillus_timonensis_10403023"
"86"	1051502	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus vallismortis DV1-F-3"	"Bacillus vallismortis DV1-F-3"	"Bacillus_vallismortis_DV1_F_3"
"87"	411901	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides caccae ATCC 43185"	"Bacteroides caccae ATCC 43185"	"Bacteroides_caccae_ATCC_43185"
"88"	537012	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides cellulosilyticus DSM 14838"	"Bacteroides cellulosilyticus DSM 14838"	"Bacteroides_cellulosilyticus_DSM_14838"
"89"	762984	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides clarus YIT 12056"	"Bacteroides clarus YIT 12056"	"Bacteroides_clarus_YIT_12056"
"90"	470145	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides coprocola DSM 17136"	"Bacteroides coprocola M16, DSM 17136"	"Bacteroides_coprocola_M16_DSM_17136"
"91"	547042	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides coprophilus DSM 18228 = JCM 13818"	"Bacteroides coprophilus DSM 18228"	"Bacteroides_coprophilus_DSM_18228"
"92"	483217	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides dorei DSM 17855"	"Bacteroides dorei DSM 17855"	"Bacteroides_dorei_DSM_17855"
"93"	665953	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides eggerthii 1_2_48FAA"	"Bacteroides eggerthii 1_2_48FAA"	"Bacteroides_eggerthii_1_2_48FAA"
"94"	483216	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides eggerthii DSM 20697"	"Bacteroides eggerthii DSM 20697"	"Bacteroides_eggerthii_DSM_20697"
"95"	1077285	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides faecis MAJ27"	"Bacteroides faecis MAJ27"	"Bacteroides_faecis_MAJ27"
